Category	File.name	Field.name	Description
MRI_T_roi	abcd_mrisdp101	src_subject_id	'''Subject ID how it''''s defined in lab/project'''
MRI_T_roi	abcd_mrisdp101	interview_age	Age in months at the time of the interview/test/sampling/imaging.
MRI_T_roi	abcd_mrisdp101	interview_date	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY
MRI_T_roi	abcd_mrisdp101	sex	Sex of the subject
MRI_QC	abcd_mrfindings01	mrif_score	Report Score
MRI_QC	abcd_mrfindings01	mrif_hydrocephalus	Hydrocephalus?
MRI_QC	abcd_mrfindings01	mrif_herniation	Herniation?
MRI_QC	freesqc01	fsqc_container_type	Container type
MRI_QC	freesqc01	mexamtp	series type
MRI_QC	freesqc01	fsqc_nrev	Number of reviews
MRI_QC	freesqc01	fsqc_revdisp	Number of reviews with disparity
MRI_QC	freesqc01	fsqc_qc	QC score
MRI_QC	freesqc01	fsqc_qu_motion	Motion score
MRI_QC	freesqc01	fsqc_qu_pialover	Pial overestimation score
MRI_QC	freesqc01	fsqc_qu_wmunder	White matter underestimation score
MRI_QC	freesqc01	fsqc_qu_inhomogeneity	Inhomogeneity score
MRI_QC	freesqc01	fsqc_qu_artifact	Artifact score
MRI_QC	mriqcrp102	iqc_t1_1_suid	T1 #1: Study instance UID
MRI_QC	mriqcrp102	iqc_t1_1_seuid	T1 #1: Series instance UID
MRI_QC	mriqcrp102	iqc_t1_1_studydate	T1 #1: Study date
MRI_QC	mriqcrp102	iqc_t1_1_seriestime	T1 #1: Series time
MRI_QC	mriqcrp102	iqc_t1_1_qc_score	T1 #1: QC score of 1 (pass) or 0 (fail)
MRI_QC	mriqcrp102	iqc_t1_1_pc_score	T1 #1: Protocol compliance score of 1 (pass) or 0 (fail)
MRI_QC	mriqcrp102	iqc_t1_1_complete	T1 #1: DAIC received correct number of files for this series (1=pass, 0=fail)
MRI_QC	mriqcrp102	iqc_t1_1_voxvol	T1 #1: Volume of single voxel (mm^3)
MRI_QC	mriqcrp102	iqc_t1_1_brainvol	T1 #1: Volume of brain mask (mm^3)
MRI_QC	mriqcrp102	iqc_t1_1_brain_mean	T1 #1: Mean intensity within brain mask
MRI_QC	mriqcrp102	iqc_t1_1_brain_std	T1 #1: Standard deviation of intensities within brain mask
MRI_QC	mriqcrp102	iqc_t1_2_suid	T1 #2: Study instance UID
MRI_QC	mriqcrp102	iqc_t1_2_seuid	T1 #2: Series instance UID
MRI_QC	mriqcrp102	iqc_t1_2_studydate	T1 #2: Study date
MRI_QC	mriqcrp102	iqc_t1_2_seriestime	T1 #2: Series time
MRI_QC	mriqcrp102	iqc_t1_2_qc_score	T1 #2: QC score of 1 (pass) or 0 (fail)
MRI_QC	mriqcrp102	iqc_t1_2_pc_score	T1 #2: Protocol compliance score of 1 (pass) or 0 (fail)
MRI_QC	mriqcrp102	iqc_t1_2_complete	T1 #2: DAIC received correct number of files for this series (1=pass,  0=fail)
MRI_QC	mriqcrp102	iqc_t1_2_voxvol	T1 #2: Volume of single voxel (mm^3)
MRI_QC	mriqcrp102	iqc_t1_2_brainvol	T1 #2: Volume of brain mask (mm^3)
MRI_QC	mriqcrp102	iqc_t1_2_brain_mean	T1 #2: Mean intensity within brain mask
MRI_QC	mriqcrp102	iqc_t1_2_brain_std	T1 #2: Standard deviation of intensities within brain mask
MRI_QC	mriqcrp102	iqc_t1_3_suid	T1 #3: Study instance UID
MRI_QC	mriqcrp102	iqc_t1_3_seuid	T1 #3: Series instance UID
MRI_QC	mriqcrp102	iqc_t1_3_studydate	T1 #3: Study date
MRI_QC	mriqcrp102	iqc_t1_3_seriestime	T1 #3: Series time
MRI_QC	mriqcrp102	iqc_t1_3_qc_score	T1 #3: QC score of 1 (pass) or 0 (fail)
MRI_QC	mriqcrp102	iqc_t1_3_pc_score	T1 #3: Protocol compliance score of 1 (pass) or 0 (fail)
MRI_QC	mriqcrp102	iqc_t1_3_complete	T1 #3: DAIC received correct number of files for this series (1=pass,  0=fail)
MRI_QC	mriqcrp102	iqc_t1_3_voxvol	T1 #3: Volume of single voxel (mm^3)
MRI_QC	mriqcrp102	iqc_t1_3_brainvol	T1 #3: Volume of brain mask (mm^3)
MRI_QC	mriqcrp102	iqc_t1_3_brain_mean	T1 #3: Mean intensity within brain mask
MRI_QC	mriqcrp102	iqc_t1_3_brain_std	T1 #3: Standard deviation of intensities within brain mask
MRI_QC	mriqcrp102	iqc_t1_total_ser	T1: Total number received
MRI_QC	mriqcrp102	iqc_t1_total_passpc	T1: Number that passed protocol compliance
MRI_QC	mriqcrp102	iqc_t1_total_passqc	T1: Number that passed visual quality control (QC)
MRI_QC	mriqcrp102	iqc_t1_good_ser	T1: Number that passed protocol compliance and QC
MRI_QC	mriqcrp102	iqc_t1_ok_ser	T1: Number of series that are complete and passed QC (ignoring PC)
MRI_QC	mriqcrp102	iqc_t1_bad_ser	T1: Number that failed either protocol compliance or QC
MRI_QC	mriqcrp102	iqc_t1_ser_pc_issues	T1: Number with protocol compliance issues
MRI_QC	mriqcrp102	iqc_t1_ser_qcs	T1: Number with QC issues
MRI_QC	mriqcrp102	iqc_t1_ser_incomp	T1: Number of series missing files at DAIC
MRI_QC	mriqcrp102	iqc_t1_dis_qc	T1: Number with distortion artifact
MRI_QC	mriqcrp102	iqc_t1_dco_qc	T1: Number with dorsal cut-off
MRI_QC	mriqcrp102	iqc_t1_fa_qc	T1: Number with fractional anisotropy map issues
MRI_QC	mriqcrp102	iqc_t1_gh_qc	T1: Number with ghosting
MRI_QC	mriqcrp102	iqc_t1_ht_qc	T1: Number with head tilt
MRI_QC	mriqcrp102	iqc_t1_hb_qc	T1: Number with horizontal banding
MRI_QC	mriqcrp102	iqc_t1_mo_qc	T1: Number with motion artifact
MRI_QC	mriqcrp102	iqc_t1_rf_qc	T1: Number with radio frequency artifact
MRI_QC	mriqcrp102	iqc_t1_sd_qc	T1: Number with signal dropout
MRI_QC	mriqcrp102	iqc_t1_si_qc	T1: Number with signal inhomogeneity
MRI_QC	mriqcrp102	iqc_t1_sus_qc	T1: Number with susceptibility artifact
MRI_QC	mriqcrp102	iqc_t1_vco_qc	T1: Number with ventral cut-off
MRI_QC	mriqcrp102	iqc_t1_wr_qc	T1: Number with wrapping
MRI_QC	mriqcrp102	iqc_t1_slice_qc	T1: Number with slice interleaving issues
MRI_QC	mriqcrp102	iqc_t1_dark_qc	T1: Number with dark slice artifact
MRI_QC	mriqcrp102	iqc_t1_moire_qc	T1: Number with moire artifact
MRI_QC	mriqcrp102	iqc_t1_recon_qc	T1: Number with reconstruction error
MRI_QC	mriqcrp102	iqc_t1_miss_qc	T1: Number with missing p-files
MRI_QC	mriqcrp102	iqc_t1_other_qc	T1: Number with other QC issue
MRI_QC	mriqcrp102	iqc_t1_all_voxvol	T1: Mean volume of single voxel averaged across all scans (mm^3)
MRI_QC	mriqcrp102	iqc_t1_ok_voxvol	T1: Mean volume of single voxel averaged across all OK scans (mm^3)
MRI_QC	mriqcrp102	iqc_t1_all_brainvol	T1: Mean volume of brain mask averaged across all scans (mm^3)
MRI_QC	mriqcrp102	iqc_t1_ok_brainvol	T1: Mean volume of brain mask averaged across all OK scans (mm^3)
MRI_QC	mriqcrp102	iqc_t1_all_brain_mean	T1: Mean intensity within brain mask averaged across all scans
MRI_QC	mriqcrp102	iqc_t1_ok_brain_mean	T1: Mean intensity within brain mask averaged across all OK scans
MRI_QC	mriqcrp102	iqc_t1_all_brain_std	T1: Standard deviation of intensities within brain mask averaged across all scans
MRI_QC	mriqcrp102	iqc_t1_ok_brain_std	T1: Standard deviation of intensities within brain mask averaged across all OK scans
MRI_T_roi	abcd_smrip201	smri_vol_scs_intracranialv	Volume in mm^3 of ASEG ROI intracranialvolume
MRI_T_roi	abcd_smrip101	smri_thick_cdk_banksstslh	Cortical thickness in mm of APARC ROI lh-Banks of Superior Temporal Sulcus
MRI_T_roi	abcd_smrip101	smri_thick_cdk_cdacatelh	Cortical thickness in mm of APARC ROI lh-caudalanteriorcingulate
MRI_T_roi	abcd_smrip101	smri_thick_cdk_cdmdfrlh	Cortical thickness in mm of APARC ROI lh-caudalmiddlefrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_cuneuslh	Cortical thickness in mm of APARC ROI lh-cuneus
MRI_T_roi	abcd_smrip101	smri_thick_cdk_ehinallh	Cortical thickness in mm of APARC ROI lh-entorhinal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_fusiformlh	Cortical thickness in mm of APARC ROI lh-fusiform
MRI_T_roi	abcd_smrip101	smri_thick_cdk_ifpllh	Cortical thickness in mm of APARC ROI lh-inferiorparietal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_iftmlh	Cortical thickness in mm of APARC ROI lh-inferiortemporal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_ihcatelh	Cortical thickness in mm of APARC ROI lh-isthmuscingulate
MRI_T_roi	abcd_smrip101	smri_thick_cdk_locclh	Cortical thickness in mm of APARC ROI lh-lateraloccipital
MRI_T_roi	abcd_smrip101	smri_thick_cdk_lobfrlh	Cortical thickness in mm of APARC ROI lh-lateralorbitofrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_linguallh	Cortical thickness in mm of APARC ROI lh-lingual
MRI_T_roi	abcd_smrip101	smri_thick_cdk_mobfrlh	Cortical thickness in mm of APARC ROI lh-medialorbitofrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_mdtmlh	Cortical thickness in mm of APARC ROI lh-middletemporal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_parahpallh	Cortical thickness in mm of APARC ROI lh-parahippocampal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_paracnlh	Cortical thickness in mm of APARC ROI lh-paracentral
