Category	File.name	Field.name	Description
Culture_and_Environment	abcd_sscep01	src_subject_id	Subject ID how it's defined in lab/project
Culture_and_Environment	abcd_sscep01	interview_date	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY
Culture_and_Environment	abcd_sscep01	interview_age	Age in months at the time of the interview/test/sampling/imaging.
Culture_and_Environment	abcd_sscep01	gender	Sex of the subject
Culture_and_Environment	abcd_sscep01	eventname	The event name for which the data was collected
Culture_and_Environment	abcd_sscep01	meim_p_ss_exp	"MEIM-R Exploration Subscale, Mean: (meim_1_p + meim_4_p + meim_5_p)/3; Validation: All items must be answered"
Culture_and_Environment	abcd_sscep01	meim_p_ss_exp_nm	"MEIM-R Exploration Subscale, Mean: Number Missing Answers"
Culture_and_Environment	abcd_sscep01	meim_p_ss_exp_nt	"MEIM-R Exploration Subscale, Mean: Number Total Questions"
Culture_and_Environment	abcd_sscep01	meim_p_ss_com	"MEIM-R Commitment and Attachment Subscale, Mean: (meim_2_p + meim_3_p + meim_6_p)/3; Validation: All items must be answered"
Culture_and_Environment	abcd_sscep01	meim_p_ss_com_nm	"MEIM-R Commitment and Attachment Subscale, Mean: Number Missing Answers"
Culture_and_Environment	abcd_sscep01	meim_p_ss_com_nt	"MEIM-R Commitment and Attachment Subscale, Mean: Number Total Questions"
Culture_and_Environment	abcd_sscep01	meim_p_ss_total	MEIM-R Overall Mean: (meim_1_p + meim_2_p + meim_3_p + meim_4_p + meim_5_p + [meim_6_p)/6; Validation: minimum of 5 items answered
Culture_and_Environment	abcd_sscep01	meim_p_ss_total_nm	MEIM-R Overall Mean: Number Missing Answers
Culture_and_Environment	abcd_sscep01	meim_p_ss_total_nt	MEIM-R Overall Mean: Number Total Questions
Culture_and_Environment	abcd_sscep01	via_p_ss_hc	"VIA Heritage Culture Subscale, Mean: (vancouver_q2_p +  vancouver_q4_p + vancouver_q6_p + vancouver_q8_p + vancouver_q10_p + vancouver_q12_p + vancouver_q14_p + vancouver_q16_p)/8; Validation: All items must be answered"
Culture_and_Environment	abcd_sscep01	via_p_ss_hc_nm	"VIA Heritage Culture Subscale, Mean: Number Missing Answers"
Culture_and_Environment	abcd_sscep01	via_p_ss_hc_nt	"VIA Heritage Culture Subscale, Mean: Number Total Questions"
Culture_and_Environment	abcd_sscep01	via_p_ss_amer	"VIA American ""Mainstream"" Culture Subscale, Mean: (vancouver_q3_p + vancouver_q7_p + vancouver_q5_p + vancouver_q9_p + vancouver_q11_p + vancouver_q13_p + vancouver_q15_p + vancouver_q17_p)/8; Validation: All items must be answered"
Culture_and_Environment	abcd_sscep01	via_p_ss_amer_nm	"VIA American ""Mainstream"" Culture Subscale, Mean: Number Missing Answers"
Culture_and_Environment	abcd_sscep01	via_p_ss_amer_nt	"VIA American ""Mainstream"" Culture Subscale, Mean: Number Total Questions"
Culture_and_Environment	abcd_sscep01	nsc_p_ss_mean_3_items	"Neighborhood Safety Protocol: Mean of Parent Report, (neighborhood1r_p + neighborhood2r_p + neighborhood3r_p)/3; Validation: No minimum"
Culture_and_Environment	abcd_sscep01	nsc_p_ss_mean_3_items_nm	"Neighborhood Safety Protocol, Mean of Parent Report: Number Missing Answers"
Culture_and_Environment	abcd_sscep01	nsc_p_ss_mean_3_items_nt	"Neighborhood Safety Protocol, Mean of Parent Report: Number Total Questions"
