Category	File.name	Field.name	Description
MRI_T_roi	abcd_betnet02	src_subject_id	Subject ID how it's defined in lab/project
MRI_T_roi	abcd_betnet02	interview_date	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY
MRI_T_roi	abcd_betnet02	interview_age	Age in months at the time of the interview/test/sampling/imaging.
MRI_T_roi	abcd_betnet02	sex	Sex of the subject
MRI_T_roi	abcd_betnet02	eventname	The event name for which the data was collected
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_visitid	Visit name
MRI_QC	freesqc01	fsqc_qc	QC score
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_tr	Pulse repetition time in seconds
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_numtrs	Number of frames in acquisition
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_nvols	Number of frames after removing dummy frames
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_stnvols	Number of frames with FD < 0.2
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_stcontignvols	Number of frames with FD < 0.2 and at least 5 contiguous, supra-threshold frames
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_ntpoints	Number of frames after excluding outlier frames (based on standard deviation across ROIs)
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_meanmotion	Average framewise displacement in mm
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_maxmotion	Maximum framewise displacement in mm
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_meantrans	Average framewise translation in mm
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_maxtrans	Maximum framewise translation in mm
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_meanrot	Average framewise rotation in radians
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_maxrot	Maximum framewise rotation in radians
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_ad_ngd_ad	Average correlation between auditory network and auditory network
MRI_T_roi	abcd_betnet02	rsfmri_c_ngd_ad_ngd_cgc	Average correlation between auditory network and cingulo-opercular network
