"","mod_name","beta","std","t.value","p.value","CI.Lower_95CI","CI.Upper_95CI","dependent","factor","p.corrected","Sig"
"1","sa.APARC.trvtm~dhea_timing", 0.1227583,0.04155452, 2.954151,0.0033420413, 0.04103744, 0.20447916,"sa.APARC.trvtm","dhea_timing",0.097521189,TRUE
"2","dtifa_cst~estr_timing", 0.1398841,0.04688210, 2.983743,0.0030591154, 0.04765970, 0.23210858,"dtifa_cst","estr_timing",0.059557587,TRUE
"3","dtimd_ifsfc~estr_timing",-0.1338178,0.04475408,-2.990070,0.0029981121,-0.22185613,-0.04577953,"dtimd_ifsfc","estr_timing",0.059962241,TRUE
"4","sa.APARC.precn~pt_f_INT",-0.1498106,0.03972278,-3.771401,0.0001910518,-0.22794067,-0.07168045,"sa.APARC.precn","pt_f_INT",0.006495763,TRUE
"5","sa.APARC.pc~pt_f_INT",-0.1117089,0.03903688,-2.861626,0.0044726271,-0.18848994,-0.03492792,"sa.APARC.pc","pt_f_INT",0.070915986,TRUE
"6","vol.APARC.iftm~pt_f_INT",-0.1138189,0.03981783,-2.858491,0.0045160030,-0.19213596,-0.03550186,"vol.APARC.iftm","pt_f_INT",0.051181367,TRUE
"7","vol.APARC.mdtm~pt_f_INT",-0.1258049,0.03807717,-3.303944,0.0010536338,-0.20069824,-0.05091148,"vol.APARC.mdtm","pt_f_INT",0.017911775,TRUE
"8","vol.APARC.pc~pt_f_INT",-0.1305903,0.03754162,-3.478548,0.0005688878,-0.20443032,-0.05675031,"vol.APARC.pc","pt_f_INT",0.017911775,TRUE
"9","vol.ASEG.caudate~pt_f_INT",-0.1310912,0.04531848,-2.892665,0.0040631358,-0.22022736,-0.04195499,"vol.ASEG.caudate","pt_f_INT",0.036568223,TRUE
"10","dtifa_cst~pt_f_INT", 0.1561962,0.05231946, 2.985433,0.0030480389, 0.05326630, 0.25912618,"dtifa_cst","pt_f_INT",0.060960778,TRUE
"11","dtimd_fx~pt_f_INT",-0.2157951,0.05551291,-3.887295,0.0001230419,-0.32500760,-0.10658254,"dtimd_fx","pt_f_INT",0.002460838,TRUE
"12","dtimd_fscs~pt_f_INT",-0.1310286,0.04606229,-2.844595,0.0047305054,-0.22164856,-0.04040858,"dtimd_fscs","pt_f_INT",0.031536703,TRUE
"13","dtimd_fxcut~pt_f_INT",-0.1750281,0.05601551,-3.124637,0.0019416850,-0.28522942,-0.06482681,"dtimd_fxcut","pt_f_INT",0.019416850,TRUE
