"","mod_name","beta","std","t.value","p.value","CI.Lower_95CI","CI.Upper_95CI","dependent","factor","p.corrected","Sig"
"1","thk.APARC.bankssts~dhea_timing", 2.660239e-03,0.04234630, 0.0628210598,0.9499439574,-0.0806177296, 0.0859382079,"thk.APARC.bankssts","dhea_timing",0.996013045,FALSE
"2","thk.APARC.cdacate~dhea_timing",-4.049164e-02,0.04459022,-0.9080835209,0.3644432651,-0.1281824871, 0.0471992075,"thk.APARC.cdacate","dhea_timing",0.983605540,FALSE
"3","thk.APARC.cdmdfr~dhea_timing",-1.207587e-02,0.04743973,-0.2545518493,0.7992149997,-0.1053705594, 0.0812188167,"thk.APARC.cdmdfr","dhea_timing",0.983605540,FALSE
"4","thk.APARC.cuneus~dhea_timing", 1.186787e-02,0.04287786, 0.2767830989,0.7821059490,-0.0724554755, 0.0961912104,"thk.APARC.cuneus","dhea_timing",0.983605540,FALSE
"5","thk.APARC.ehinal~dhea_timing",-9.182239e-02,0.04484910,-2.0473631922,0.0413498584,-0.1800223605,-0.0036224283,"thk.APARC.ehinal","dhea_timing",0.807338280,FALSE
"6","thk.APARC.fusiform~dhea_timing", 5.799022e-02,0.04559923, 1.2717368134,0.2042898765,-0.0316849528, 0.1476654024,"thk.APARC.fusiform","dhea_timing",0.983605540,FALSE
"7","thk.APARC.ifpl~dhea_timing", 3.310189e-02,0.04268504, 0.7754916506,0.4385597269,-0.0508422528, 0.1170460422,"thk.APARC.ifpl","dhea_timing",0.983605540,FALSE
"8","thk.APARC.iftm~dhea_timing", 4.354497e-02,0.04426973, 0.9836286147,0.3259605840,-0.0435156083, 0.1306055523,"thk.APARC.iftm","dhea_timing",0.983605540,FALSE
"9","thk.APARC.ihcate~dhea_timing",-3.022561e-02,0.04707764,-0.6420374700,0.5212586045,-0.1228082122, 0.0623569935,"thk.APARC.ihcate","dhea_timing",0.983605540,FALSE
"10","thk.APARC.locc~dhea_timing", 6.909605e-02,0.04021534, 1.7181518233,0.0866311469,-0.0099911829, 0.1481832864,"thk.APARC.locc","dhea_timing",0.983605540,FALSE
"11","thk.APARC.lobfr~dhea_timing",-6.883649e-03,0.04530718,-0.1519328267,0.8793252625,-0.0959844820, 0.0822171849,"thk.APARC.lobfr","dhea_timing",0.983605540,FALSE
"12","thk.APARC.lingual~dhea_timing", 1.376803e-02,0.04286175, 0.3212195560,0.7482309371,-0.0705236235, 0.0980596873,"thk.APARC.lingual","dhea_timing",0.983605540,FALSE
"13","thk.APARC.mobfr~dhea_timing",-1.239607e-02,0.04328019,-0.2864143554,0.7747259948,-0.0975106362, 0.0727184984,"thk.APARC.mobfr","dhea_timing",0.983605540,FALSE
"14","thk.APARC.mdtm~dhea_timing",-3.934589e-02,0.04124372,-0.9539850707,0.3407330954,-0.1204555346, 0.0417637537,"thk.APARC.mdtm","dhea_timing",0.983605540,FALSE
"15","thk.APARC.parahpal~dhea_timing",-4.247139e-03,0.04767036,-0.0890939288,0.9290569434,-0.0979953720, 0.0895010934,"thk.APARC.parahpal","dhea_timing",0.995193200,FALSE
"16","thk.APARC.paracn~dhea_timing", 5.108892e-03,0.04507733, 0.1133361614,0.9098274005,-0.0835399164, 0.0937577000,"thk.APARC.paracn","dhea_timing",0.985976900,FALSE
"17","thk.APARC.parsopc~dhea_timing", 4.656949e-03,0.04319899, 0.1078022769,0.9142127587,-0.0802979162, 0.0896118144,"thk.APARC.parsopc","dhea_timing",0.985976900,FALSE
"18","thk.APARC.parsobis~dhea_timing",-4.240232e-02,0.04409215,-0.9616750087,0.3368601527,-0.1291136751, 0.0443090367,"thk.APARC.parsobis","dhea_timing",0.983605540,FALSE
"19","thk.APARC.parstgris~dhea_timing", 9.913885e-03,0.04222383, 0.2347936111,0.8145027859,-0.0731232415, 0.0929510122,"thk.APARC.parstgris","dhea_timing",0.983605540,FALSE
"20","thk.APARC.pericc~dhea_timing",-3.751559e-02,0.04217851,-0.8894481324,0.3743578993,-0.1204635873, 0.0454324007,"thk.APARC.pericc","dhea_timing",0.983605540,FALSE
"21","thk.APARC.postcn~dhea_timing",-3.827602e-02,0.04211702,-0.9088017812,0.3640644548,-0.1211030948, 0.0445510519,"thk.APARC.postcn","dhea_timing",0.983605540,FALSE
"22","thk.APARC.ptcate~dhea_timing", 5.051968e-02,0.04334479, 1.1655307329,0.2445780247,-0.0347219130, 0.1357612728,"thk.APARC.ptcate","dhea_timing",0.983605540,FALSE
"23","thk.APARC.precn~dhea_timing", 4.808503e-02,0.04325597, 1.1116391894,0.2670372123,-0.0369818976, 0.1331519620,"thk.APARC.precn","dhea_timing",0.983605540,FALSE
"24","thk.APARC.pc~dhea_timing", 3.597847e-02,0.04657158, 0.7725412070,0.4403022479,-0.0556089247, 0.1275658572,"thk.APARC.pc","dhea_timing",0.983605540,FALSE
"25","thk.APARC.rracate~dhea_timing", 2.012612e-02,0.04143028, 0.4857829900,0.6274173908,-0.0613504088, 0.1016026572,"thk.APARC.rracate","dhea_timing",0.983605540,FALSE
"26","thk.APARC.rrmdfr~dhea_timing", 2.877280e-02,0.04312159, 0.6672481690,0.5050422816,-0.0560298491, 0.1135754465,"thk.APARC.rrmdfr","dhea_timing",0.983605540,FALSE
"27","thk.APARC.sufr~dhea_timing", 2.458778e-02,0.04595389, 0.5350532577,0.5929442834,-0.0657848615, 0.1149604175,"thk.APARC.sufr","dhea_timing",0.983605540,FALSE
"28","thk.APARC.supl~dhea_timing", 5.877382e-03,0.04620970, 0.1271893523,0.8988617423,-0.0849983337, 0.0967530973,"thk.APARC.supl","dhea_timing",0.985096469,FALSE
"29","thk.APARC.sutm~dhea_timing", 3.650581e-02,0.04387651, 0.8320126840,0.4059548762,-0.0497814631, 0.1227930850,"thk.APARC.sutm","dhea_timing",0.983605540,FALSE
"30","thk.APARC.sm~dhea_timing", 1.372318e-02,0.03796373, 0.3614813414,0.7179523002,-0.0609360612, 0.0883824212,"thk.APARC.sm","dhea_timing",0.983605540,FALSE
"31","thk.APARC.frpole~dhea_timing", 5.779121e-03,0.04385971, 0.1317637682,0.8952449585,-0.0804751269, 0.0920333694,"thk.APARC.frpole","dhea_timing",0.985096469,FALSE
"32","thk.APARC.tmpole~dhea_timing", 2.477890e-02,0.04633289, 0.5348016559,0.5931180903,-0.0663390685, 0.1158968768,"thk.APARC.tmpole","dhea_timing",0.983605540,FALSE
"33","thk.APARC.trvtm~dhea_timing",-1.111996e-02,0.04494098,-0.2474347326,0.8047132459,-0.0995006277, 0.0772607068,"thk.APARC.trvtm","dhea_timing",0.983605540,FALSE
"34","thk.APARC.insula~dhea_timing", 6.585775e-02,0.04532478, 1.4530186163,0.1470921002,-0.0232776876, 0.1549931811,"thk.APARC.insula","dhea_timing",0.983605540,FALSE
"35","sulc.APARC.bankssts~dhea_timing",-7.137277e-02,0.04167002,-1.7128084622,0.0876111981,-0.1533207770, 0.0105752462,"sulc.APARC.bankssts","dhea_timing",0.453516790,FALSE
"36","sulc.APARC.cdacate~dhea_timing",-4.791880e-02,0.03620221,-1.3236430018,0.1864638989,-0.1191138523, 0.0232762455,"sulc.APARC.cdacate","dhea_timing",0.520587566,FALSE
"37","sulc.APARC.cdmdfr~dhea_timing",-3.802513e-02,0.04079894,-0.9320126269,0.3519563579,-0.1182600841, 0.0422098240,"sulc.APARC.cdmdfr","dhea_timing",0.653935574,FALSE
"38","sulc.APARC.cuneus~dhea_timing", 3.231731e-02,0.04574709, 0.7064342606,0.4803763421,-0.0576486328, 0.1222832503,"sulc.APARC.cuneus","dhea_timing",0.704530550,FALSE
"39","sulc.APARC.ehinal~dhea_timing", 1.658873e-02,0.04478592, 0.3704005613,0.7113024953,-0.0714869883, 0.1046644478,"sulc.APARC.ehinal","dhea_timing",0.931893943,FALSE
"40","sulc.APARC.fusiform~dhea_timing", 8.629796e-02,0.04280570, 2.0160389870,0.0445403787, 0.0021165299, 0.1704793868,"sulc.APARC.fusiform","dhea_timing",0.326629444,FALSE
"41","sulc.APARC.ifpl~dhea_timing", 6.272602e-02,0.04129439, 1.5189961917,0.1296436097,-0.0184832756, 0.1439353157,"sulc.APARC.ifpl","dhea_timing",0.466776716,FALSE
"42","sulc.APARC.iftm~dhea_timing", 7.782878e-03,0.04661427, 0.1669634140,0.8674928387,-0.0838884634, 0.0994542187,"sulc.APARC.iftm","dhea_timing",0.966321137,FALSE
"43","sulc.APARC.ihcate~dhea_timing",-1.633518e-02,0.04235776,-0.3856479451,0.6999858356,-0.0996356934, 0.0669653284,"sulc.APARC.ihcate","dhea_timing",0.931893943,FALSE
"44","sulc.APARC.locc~dhea_timing",-3.181199e-02,0.04553051,-0.6986960602,0.4851943656,-0.1213520043, 0.0577280329,"sulc.APARC.locc","dhea_timing",0.704530550,FALSE
"45","sulc.APARC.lobfr~dhea_timing",-5.061647e-02,0.04673075,-1.0831512323,0.2794682443,-0.1425168754, 0.0412839391,"sulc.APARC.lobfr","dhea_timing",0.599834280,FALSE
"46","sulc.APARC.lingual~dhea_timing",-3.368159e-03,0.04488444,-0.0750406760,0.9402241454,-0.0916376233, 0.0849013061,"sulc.APARC.lingual","dhea_timing",0.967045688,FALSE
"47","sulc.APARC.mobfr~dhea_timing", 4.076863e-03,0.04090619, 0.0996637298,0.9206669261,-0.0763689985, 0.0845227251,"sulc.APARC.mobfr","dhea_timing",0.967045688,FALSE
"48","sulc.APARC.mdtm~dhea_timing",-5.237827e-02,0.04457323,-1.1751060178,0.2407310943,-0.1400357043, 0.0352791705,"sulc.APARC.mdtm","dhea_timing",0.563883497,FALSE
"49","sulc.APARC.parahpal~dhea_timing", 3.707258e-02,0.04744165, 0.7814353349,0.4350615207,-0.0562258794, 0.1303710424,"sulc.APARC.parahpal","dhea_timing",0.704530550,FALSE
"50","sulc.APARC.paracn~dhea_timing", 5.207301e-02,0.04210499, 1.2367420077,0.2169913155,-0.0307304058, 0.1348764174,"sulc.APARC.paracn","dhea_timing",0.530423216,FALSE
"51","sulc.APARC.parsopc~dhea_timing",-6.171969e-02,0.04206825,-1.4671321390,0.1432155834,-0.1444508623, 0.0210114860,"sulc.APARC.parsopc","dhea_timing",0.466776716,FALSE
"52","sulc.APARC.parsobis~dhea_timing", 3.341524e-02,0.04177727, 0.7998426492,0.4243308930,-0.0487436809, 0.1155741618,"sulc.APARC.parsobis","dhea_timing",0.704530550,FALSE
"53","sulc.APARC.parstgris~dhea_timing",-6.631436e-02,0.04303551,-1.5409220714,0.1242167054,-0.1509477233, 0.0183190038,"sulc.APARC.parstgris","dhea_timing",0.466776716,FALSE
"54","sulc.APARC.pericc~dhea_timing",-2.372377e-02,0.04705274,-0.5041952206,0.6144334885,-0.1162574078, 0.0688098713,"sulc.APARC.pericc","dhea_timing",0.858256301,FALSE
"55","sulc.APARC.postcn~dhea_timing",-5.697418e-02,0.04396491,-1.2959014390,0.1958419765,-0.1434352994, 0.0294869320,"sulc.APARC.postcn","dhea_timing",0.520587566,FALSE
"56","sulc.APARC.ptcate~dhea_timing",-5.828768e-02,0.03897734,-1.4954248869,0.1356821037,-0.1349402813, 0.0183649158,"sulc.APARC.ptcate","dhea_timing",0.466776716,FALSE
"57","sulc.APARC.precn~dhea_timing", 6.245521e-02,0.04390864, 1.4223899913,0.1557813410,-0.0238952536, 0.1488056654,"sulc.APARC.precn","dhea_timing",0.489598500,FALSE
"58","sulc.APARC.pc~dhea_timing", 1.751873e-03,0.04557917, 0.0384358141,0.9693615709,-0.0878838485, 0.0913875936,"sulc.APARC.pc","dhea_timing",0.969361571,FALSE
"59","sulc.APARC.rracate~dhea_timing", 4.198190e-03,0.03683678, 0.1139673598,0.9093273764,-0.0682447894, 0.0766411695,"sulc.APARC.rracate","dhea_timing",0.967045688,FALSE
"60","sulc.APARC.rrmdfr~dhea_timing", 6.603876e-02,0.04210092, 1.5685824324,0.1176262268,-0.0167566506, 0.1488341780,"sulc.APARC.rrmdfr","dhea_timing",0.466776716,FALSE
"61","sulc.APARC.sufr~dhea_timing", 4.242742e-02,0.04498324, 0.9431829084,0.3462216425,-0.0460363407, 0.1308911811,"sulc.APARC.sufr","dhea_timing",0.653935574,FALSE
"62","sulc.APARC.supl~dhea_timing", 1.216586e-02,0.04632194, 0.2626371760,0.7929808945,-0.0789305890, 0.1032623179,"sulc.APARC.supl","dhea_timing",0.931893943,FALSE
"63","sulc.APARC.sutm~dhea_timing",-1.203116e-02,0.04309720,-0.2791634791,0.7802801197,-0.0967858536, 0.0727235258,"sulc.APARC.sutm","dhea_timing",0.931893943,FALSE
"64","sulc.APARC.sm~dhea_timing",-5.710237e-03,0.04332180,-0.1318097867,0.8952085847,-0.0909066209, 0.0794861471,"sulc.APARC.sm","dhea_timing",0.967045688,FALSE
"65","sulc.APARC.frpole~dhea_timing",-6.389850e-02,0.04294597,-1.4878813049,0.1376600160,-0.1483557799, 0.0205587770,"sulc.APARC.frpole","dhea_timing",0.466776716,FALSE
"66","sulc.APARC.tmpole~dhea_timing", 3.706091e-02,0.04015810, 0.9228750850,0.3566921311,-0.0419137705, 0.1160355982,"sulc.APARC.tmpole","dhea_timing",0.653935574,FALSE
"67","sulc.APARC.trvtm~dhea_timing",-9.817835e-02,0.04025783,-2.4387391345,0.0152225817,-0.1773491650,-0.0190075427,"sulc.APARC.trvtm","dhea_timing",0.191369599,FALSE
"68","sulc.APARC.insula~dhea_timing", 3.650709e-03,0.04129649, 0.0884024116,0.9296061371,-0.0775627128, 0.0848641310,"sulc.APARC.insula","dhea_timing",0.967045688,FALSE
