"","mod_name","beta","std","t.value","p.value","Lower_95CI","Upper_95CI","dependent","factor","p.corrected","Sig"
"1","thk.APARC.bankssts~KSADS.MDD.p",0.00742255945409143,0.0446975748425521,0.166061793737971,0.868190984160114,-0.0804450138893749,0.0952901327975577,"thk.APARC.bankssts","KSADS.MDD.p",0.990836313031982,FALSE
"2","thk.APARC.cdacate~KSADS.MDD.p",0.0503377164886238,0.043632109140173,1.15368515253087,0.249307967729109,-0.0354353386157988,0.136110771593046,"thk.APARC.cdacate","KSADS.MDD.p",0.847101884106057,FALSE
"3","thk.APARC.cdmdfr~KSADS.MDD.p",0.0202032134589753,0.0473796136529803,0.426411528108872,0.670033997068036,-0.0729367766255661,0.113343203543517,"thk.APARC.cdmdfr","KSADS.MDD.p",0.962877722394504,FALSE
"4","thk.APARC.cuneus~KSADS.MDD.p",0.054839838196347,0.0460381030242272,1.19118370640701,0.234277382552149,-0.035662977858547,0.145342654251241,"thk.APARC.cuneus","KSADS.MDD.p",0.847101884106057,FALSE
"5","thk.APARC.ehinal~KSADS.MDD.p",-0.0462978504346572,0.0475101972153534,-0.97448238795556,0.330397319764424,-0.13969454484342,0.0470988439741051,"thk.APARC.ehinal","KSADS.MDD.p",0.875263075165405,FALSE
"6","thk.APARC.fusiform~KSADS.MDD.p",0.0189371790083618,0.0456298271031703,0.415017549059397,0.678348276775496,-0.0707630383694404,0.108637396386164,"thk.APARC.fusiform","KSADS.MDD.p",0.962877722394504,FALSE
"7","thk.APARC.ifpl~KSADS.MDD.p",0.0713133404464561,0.0421926737133507,1.6901830144955,0.0917605277771485,-0.011630037692605,0.154256718585517,"thk.APARC.ifpl","KSADS.MDD.p",0.659801890207115,FALSE
"8","thk.APARC.iftm~KSADS.MDD.p",0.0240407725433153,0.0446462846378959,0.53847196330665,0.590546347385171,-0.0637259732757203,0.111807518362351,"thk.APARC.iftm","KSADS.MDD.p",0.962877722394504,FALSE
"9","thk.APARC.ihcate~KSADS.MDD.p",0.0536459582625457,0.0477648829329901,1.12312550494065,0.262047885678614,-0.040251403487852,0.147543320012943,"thk.APARC.ihcate","KSADS.MDD.p",0.847101884106057,FALSE
"10","thk.APARC.locc~KSADS.MDD.p",0.0837961750118469,0.0406243746007555,2.06270683143732,0.0397759798899786,0.0039357971873636,0.16365655283633,"thk.APARC.locc","KSADS.MDD.p",0.659801890207115,TRUE
"11","thk.APARC.lobfr~KSADS.MDD.p",0.0353110359571306,0.0462228630493986,0.763930090600264,0.445352623734216,-0.0555549858224557,0.126177057736717,"thk.APARC.lobfr","KSADS.MDD.p",0.961959913534182,FALSE
"12","thk.APARC.lingual~KSADS.MDD.p",-0.0157669509440101,0.045503986720963,-0.346496034307836,0.72914946851531,-0.105219788255844,0.0736858863678238,"thk.APARC.lingual","KSADS.MDD.p",0.962877722394504,FALSE
"13","thk.APARC.mobfr~KSADS.MDD.p",0.0359344344918416,0.0439646507104861,0.817348344889064,0.414208762127326,-0.0504923388718415,0.122361207855525,"thk.APARC.mobfr","KSADS.MDD.p",0.961959913534182,FALSE
"14","thk.APARC.mdtm~KSADS.MDD.p",0.0503106781529034,0.042305273179753,1.1892294830277,0.235044420670883,-0.0328540507396917,0.133475407045498,"thk.APARC.mdtm","KSADS.MDD.p",0.847101884106057,FALSE
"15","thk.APARC.parahpal~KSADS.MDD.p",-0.00365947775365123,0.0483771617437191,-0.0756447385863093,0.939739001365,-0.0987604719941312,0.0914415164868287,"thk.APARC.parahpal","KSADS.MDD.p",0.997240895788361,FALSE
"16","thk.APARC.paracn~KSADS.MDD.p",0.00789138618898487,0.0485574717553687,0.162516414131721,0.870980057389833,-0.0875640658320122,0.103346838209982,"thk.APARC.paracn","KSADS.MDD.p",0.990836313031982,FALSE
"17","thk.APARC.parsopc~KSADS.MDD.p",0.013116546894216,0.0428878587909916,0.305833568379756,0.75988812171327,-0.0711934428789677,0.0974265366673998,"thk.APARC.parsopc","KSADS.MDD.p",0.966499356700595,FALSE
"18","thk.APARC.parsobis~KSADS.MDD.p",-0.0147906955079902,0.0441748418586057,-0.334821696823093,0.737932504018821,-0.101630667712743,0.0720492766967623,"thk.APARC.parsobis","KSADS.MDD.p",0.962877722394504,FALSE
"19","thk.APARC.parstgris~KSADS.MDD.p",0.0325084567503552,0.0418502551857,0.776780371018219,0.437740680539251,-0.0497617867679018,0.114778700268612,"thk.APARC.parstgris","KSADS.MDD.p",0.961959913534182,FALSE
"20","thk.APARC.pericc~KSADS.MDD.p",-0.0512393888217179,0.0457308618017499,-1.12045535122098,0.26318210871423,-0.14113822265285,0.0386594450094143,"thk.APARC.pericc","KSADS.MDD.p",0.847101884106057,FALSE
"21","thk.APARC.postcn~KSADS.MDD.p",0.0154226226221481,0.0467468165390067,0.329918136976859,0.741631975760618,-0.0764733995956919,0.107318644839988,"thk.APARC.postcn","KSADS.MDD.p",0.962877722394504,FALSE
"22","thk.APARC.ptcate~KSADS.MDD.p",0.000831446584786392,0.0423047854012787,0.019653724204006,0.984329261293875,-0.0823323234210903,0.0839952165906631,"thk.APARC.ptcate","KSADS.MDD.p",0.997240895788361,FALSE
