"","mod_name","beta","std","t.value","p.value","CI.Lower_95CI","CI.Upper_95CI","dependent","factor","p.corrected","Sig"
"1","bl.thk.APARC.mean~dhea_timing", 0.024750876,0.04609526, 0.53695058,0.591633442,-0.065594172, 0.115095925,"bl.thk.APARC.mean","dhea_timing",0.8705433,FALSE
"2","bl.sulc.APARC.mean~dhea_timing", 0.100197402,0.05047244, 1.98519053,0.047881759, 0.001273245, 0.199121559,"bl.sulc.APARC.mean","dhea_timing",0.2553694,FALSE
"3","bl.sa.APARC.total~dhea_timing",-0.019579181,0.05077908,-0.38557573,0.700038648,-0.119104350, 0.079945988,"bl.sa.APARC.total","dhea_timing",0.8705433,FALSE
"4","bl.vol.APARC.total~dhea_timing",-0.015122902,0.05033357,-0.30045360,0.764004617,-0.113774888, 0.083529083,"bl.vol.APARC.total","dhea_timing",0.8705433,FALSE
"5","bl.dtifa_allfibers~dhea_timing",-0.009654358,0.04148804,-0.23270219,0.816134351,-0.090969428, 0.071660711,"bl.dtifa_allfibers","dhea_timing",0.8705433,FALSE
"6","bl.dtifa_allfibers_excl_outl~dhea_timing",-0.009994629,0.04295030,-0.23270219,0.816134351,-0.094175673, 0.074186415,"bl.dtifa_allfibers_excl_outl","dhea_timing",0.8705433,FALSE
"7","bl.dtimd_allfibers~dhea_timing", 0.012354931,0.04396729, 0.28100281,0.778881198,-0.073819366, 0.098529228,"bl.dtimd_allfibers","dhea_timing",0.8705433,FALSE
"8","bl.dtimd_allfibers_excl_outl~dhea_timing", 0.012354931,0.04396729, 0.28100281,0.778881198,-0.073819366, 0.098529228,"bl.dtimd_allfibers_excl_outl","dhea_timing",0.8705433,FALSE
"9","bl.thk.APARC.mean~test_timing", 0.002369583,0.04512737, 0.05250878,0.958152181,-0.086078440, 0.090817606,"bl.thk.APARC.mean","test_timing",0.9635330,FALSE
"10","bl.sulc.APARC.mean~test_timing", 0.118604458,0.04950572, 2.39577262,0.017091119, 0.021575022, 0.215633895,"bl.sulc.APARC.mean","test_timing",0.1266212,FALSE
"11","bl.sa.APARC.total~test_timing",-0.044645325,0.04968141,-0.89863234,0.369444206,-0.142019106, 0.052728456,"bl.sa.APARC.total","test_timing",0.8705433,FALSE
"12","bl.vol.APARC.total~test_timing",-0.040085021,0.04902032,-0.81772247,0.414052081,-0.136163092, 0.055993050,"bl.vol.APARC.total","test_timing",0.8705433,FALSE
