"","mod_name","beta","std","t.value","p.value","CI.Lower_95CI","CI.Upper_95CI","dependent","factor","p.corrected","Sig"
"1","thk.APARC.bankssts~dhea_timing",-3.256752e-03,0.03949087,-0.082468495,0.934317252,-0.080902795, 0.074389290,"thk.APARC.bankssts","dhea_timing",0.98054849,FALSE
"2","thk.APARC.cdacate~dhea_timing", 4.298788e-02,0.04189733, 1.026029211,0.305525386,-0.039389689, 0.125365456,"thk.APARC.cdacate","dhea_timing",0.91321751,FALSE
"3","thk.APARC.cdmdfr~dhea_timing",-8.010204e-02,0.04271503,-1.875265882,0.061516785,-0.164087360, 0.003883279,"thk.APARC.cdmdfr","dhea_timing",0.85613120,FALSE
"4","thk.APARC.cuneus~dhea_timing",-5.214553e-02,0.04337612,-1.202171307,0.230039900,-0.137430671, 0.033139612,"thk.APARC.cuneus","dhea_timing",0.85613120,FALSE
"5","thk.APARC.ehinal~dhea_timing",-9.679842e-02,0.04312824,-2.244432176,0.025374966,-0.181596184,-0.012000649,"thk.APARC.ehinal","dhea_timing",0.66856788,FALSE
"6","thk.APARC.fusiform~dhea_timing", 1.781846e-02,0.04473998, 0.398266994,0.690655304,-0.070148264, 0.105785176,"thk.APARC.fusiform","dhea_timing",0.95992351,FALSE
"7","thk.APARC.ifpl~dhea_timing", 3.839547e-04,0.03811316, 0.010074071,0.991967435,-0.074553279, 0.075321188,"thk.APARC.ifpl","dhea_timing",0.99511654,FALSE
"8","thk.APARC.iftm~dhea_timing",-5.567836e-02,0.04339037,-1.283196266,0.200199228,-0.140991515, 0.029634795,"thk.APARC.iftm","dhea_timing",0.85613120,FALSE
"9","thk.APARC.ihcate~dhea_timing", 6.197985e-02,0.04467378, 1.387387870,0.166130255,-0.025856704, 0.149816413,"thk.APARC.ihcate","dhea_timing",0.85613120,FALSE
"10","thk.APARC.locc~dhea_timing",-1.262764e-02,0.03709903,-0.340376456,0.733759657,-0.085570910, 0.060315635,"thk.APARC.locc","dhea_timing",0.97834621,FALSE
"11","thk.APARC.lobfr~dhea_timing",-4.085900e-02,0.04525600,-0.902841640,0.367177406,-0.129840326, 0.048122317,"thk.APARC.lobfr","dhea_timing",0.91321751,FALSE
"12","thk.APARC.lingual~dhea_timing",-8.351770e-02,0.04437782,-1.881969470,0.060598185,-0.170772361, 0.003736955,"thk.APARC.lingual","dhea_timing",0.85613120,FALSE
"13","thk.APARC.mobfr~dhea_timing",-2.486706e-02,0.04138937,-0.600807874,0.548323335,-0.106245888, 0.056511772,"thk.APARC.mobfr","dhea_timing",0.93659553,FALSE
"14","thk.APARC.mdtm~dhea_timing",-8.036104e-02,0.03769972,-2.131608085,0.033675095,-0.154485377,-0.006236699,"thk.APARC.mdtm","dhea_timing",0.76009500,FALSE
"15","thk.APARC.parahpal~dhea_timing",-2.340084e-02,0.04537228,-0.515751790,0.606325366,-0.112610787, 0.065809113,"thk.APARC.parahpal","dhea_timing",0.95096747,FALSE
"16","thk.APARC.paracn~dhea_timing",-5.938492e-02,0.04342395,-1.367561619,0.172251285,-0.144764099, 0.025994251,"thk.APARC.paracn","dhea_timing",0.85613120,FALSE
"17","thk.APARC.parsopc~dhea_timing",-2.560359e-02,0.04111025,-0.622803153,0.533784532,-0.106433619, 0.055226437,"thk.APARC.parsopc","dhea_timing",0.93659553,FALSE
"18","thk.APARC.parsobis~dhea_timing",-1.057044e-02,0.04214112,-0.250834434,0.802076629,-0.093427357, 0.072286468,"thk.APARC.parsobis","dhea_timing",0.98054849,FALSE
"19","thk.APARC.parstgris~dhea_timing",-7.030714e-02,0.04034582,-1.742612699,0.082203912,-0.149634178, 0.009019893,"thk.APARC.parstgris","dhea_timing",0.85613120,FALSE
"20","thk.APARC.pericc~dhea_timing", 4.535839e-03,0.04253369, 0.106641092,0.915129552,-0.079092927, 0.088164605,"thk.APARC.pericc","dhea_timing",0.98054849,FALSE
"21","thk.APARC.postcn~dhea_timing",-1.936610e-02,0.04040179,-0.479337599,0.631972055,-0.098803179, 0.060070984,"thk.APARC.postcn","dhea_timing",0.95096747,FALSE
"22","thk.APARC.ptcate~dhea_timing",-2.137164e-02,0.04054114,-0.527159298,0.598388177,-0.101082692, 0.058339419,"thk.APARC.ptcate","dhea_timing",0.95096747,FALSE
"23","thk.APARC.precn~dhea_timing",-3.521103e-02,0.04073701,-0.864349891,0.387936719,-0.115307222, 0.044885154,"thk.APARC.precn","dhea_timing",0.91321751,FALSE
"24","thk.APARC.pc~dhea_timing",-7.373765e-02,0.04622371,-1.595234319,0.111484646,-0.164621647, 0.017146355,"thk.APARC.pc","dhea_timing",0.85613120,FALSE
"25","thk.APARC.rracate~dhea_timing",-3.935774e-03,0.04003066,-0.098318992,0.921730433,-0.082643145, 0.074771597,"thk.APARC.rracate","dhea_timing",0.98054849,FALSE
"26","thk.APARC.rrmdfr~dhea_timing",-4.142694e-02,0.04048555,-1.023252429,0.306834373,-0.121028716, 0.038174832,"thk.APARC.rrmdfr","dhea_timing",0.91321751,FALSE
"27","thk.APARC.sufr~dhea_timing",-4.577126e-02,0.04396662,-1.041045777,0.298511011,-0.132217416, 0.040674897,"thk.APARC.sufr","dhea_timing",0.91321751,FALSE
"28","thk.APARC.supl~dhea_timing",-6.614027e-02,0.04302534,-1.537239920,0.125060263,-0.150735711, 0.018455172,"thk.APARC.supl","dhea_timing",0.85613120,FALSE
"29","thk.APARC.sutm~dhea_timing",-5.149369e-02,0.04104968,-1.254423654,0.210453059,-0.132204641, 0.029217257,"thk.APARC.sutm","dhea_timing",0.85613120,FALSE
"30","thk.APARC.sm~dhea_timing",-4.830498e-02,0.03620740,-1.334118963,0.182957582,-0.119495145, 0.022885186,"thk.APARC.sm","dhea_timing",0.85613120,FALSE
"31","thk.APARC.frpole~dhea_timing", 1.249335e-02,0.04297557, 0.290708145,0.771431893,-0.072004236, 0.096990932,"thk.APARC.frpole","dhea_timing",0.98054849,FALSE
"32","thk.APARC.tmpole~dhea_timing",-1.190272e-02,0.04295771,-0.277079998,0.781868162,-0.096365181, 0.072559739,"thk.APARC.tmpole","dhea_timing",0.98054849,FALSE
"33","thk.APARC.trvtm~dhea_timing",-5.731367e-02,0.04252177,-1.347866440,0.178498027,-0.140919014, 0.026291670,"thk.APARC.trvtm","dhea_timing",0.85613120,FALSE
"34","thk.APARC.insula~dhea_timing",-1.247191e-02,0.04485181,-0.278069322,0.781109196,-0.100658508, 0.075714685,"thk.APARC.insula","dhea_timing",0.98054849,FALSE
"35","sulc.APARC.bankssts~dhea_timing",-3.529544e-02,0.04047441,-0.872043350,0.383731062,-0.114875309, 0.044284424,"sulc.APARC.bankssts","dhea_timing",0.91085069,FALSE
"36","sulc.APARC.cdacate~dhea_timing",-8.717136e-03,0.03643914,-0.239224540,0.811059437,-0.080362935, 0.062928664,"sulc.APARC.cdacate","dhea_timing",0.97058601,FALSE
"37","sulc.APARC.cdmdfr~dhea_timing",-2.675270e-02,0.04017743,-0.665863874,0.505898944,-0.105748653, 0.052243251,"sulc.APARC.cdmdfr","dhea_timing",0.91085069,FALSE
"38","sulc.APARC.cuneus~dhea_timing", 2.191678e-02,0.04258573, 0.514650677,0.607094001,-0.061814323, 0.105647877,"sulc.APARC.cuneus","dhea_timing",0.91085069,FALSE
"39","sulc.APARC.ehinal~dhea_timing", 9.760265e-02,0.04092648, 2.384828721,0.017572867, 0.017133935, 0.178071370,"sulc.APARC.ehinal","dhea_timing",0.91085069,FALSE
"40","sulc.APARC.fusiform~dhea_timing",-3.040252e-02,0.04320665,-0.703653706,0.482076007,-0.115354461, 0.054549416,"sulc.APARC.fusiform","dhea_timing",0.91085069,FALSE
"41","sulc.APARC.ifpl~dhea_timing",-5.268900e-02,0.04239118,-1.242923568,0.214656367,-0.136037564, 0.030659574,"sulc.APARC.ifpl","dhea_timing",0.91085069,FALSE
"42","sulc.APARC.iftm~dhea_timing", 3.686665e-02,0.04158232, 0.886594300,0.375853719,-0.044891566, 0.118624870,"sulc.APARC.iftm","dhea_timing",0.91085069,FALSE
"43","sulc.APARC.ihcate~dhea_timing", 2.659852e-02,0.04116383, 0.646162372,0.518561183,-0.054336871, 0.107533913,"sulc.APARC.ihcate","dhea_timing",0.91085069,FALSE
"44","sulc.APARC.locc~dhea_timing", 3.169886e-02,0.04149332, 0.763951026,0.445366795,-0.049884350, 0.113282072,"sulc.APARC.locc","dhea_timing",0.91085069,FALSE
"45","sulc.APARC.lobfr~dhea_timing", 2.105392e-02,0.04496534, 0.468225605,0.639889610,-0.067355906, 0.109463755,"sulc.APARC.lobfr","dhea_timing",0.93389294,FALSE
"46","sulc.APARC.lingual~dhea_timing", 9.052848e-03,0.04448034, 0.203524707,0.838833026,-0.078403382, 0.096509078,"sulc.APARC.lingual","dhea_timing",0.97058601,FALSE
"47","sulc.APARC.mobfr~dhea_timing",-6.020095e-03,0.03754970,-0.160323382,0.872710864,-0.079849462, 0.067809272,"sulc.APARC.mobfr","dhea_timing",0.97058601,FALSE
"48","sulc.APARC.mdtm~dhea_timing",-1.183668e-02,0.04168723,-0.283940294,0.776609571,-0.093801161, 0.070127794,"sulc.APARC.mdtm","dhea_timing",0.97058601,FALSE
"49","sulc.APARC.parahpal~dhea_timing",-4.193844e-02,0.04510642,-0.929766577,0.353077586,-0.130625652, 0.046748771,"sulc.APARC.parahpal","dhea_timing",0.91085069,FALSE
"50","sulc.APARC.paracn~dhea_timing",-6.161129e-03,0.04142863,-0.148716676,0.881855472,-0.087617165, 0.075294907,"sulc.APARC.paracn","dhea_timing",0.97058601,FALSE
"51","sulc.APARC.parsopc~dhea_timing", 2.374317e-02,0.03922482, 0.605309887,0.545331605,-0.053379777, 0.100866121,"sulc.APARC.parsopc","dhea_timing",0.91085069,FALSE
"52","sulc.APARC.parsobis~dhea_timing",-4.638044e-02,0.04139180,-1.120522371,0.263193348,-0.127764046, 0.035003174,"sulc.APARC.parsobis","dhea_timing",0.91085069,FALSE
"53","sulc.APARC.parstgris~dhea_timing", 3.500052e-02,0.04284501, 0.816909976,0.414487715,-0.049240367, 0.119241402,"sulc.APARC.parstgris","dhea_timing",0.91085069,FALSE
"54","sulc.APARC.pericc~dhea_timing",-3.378286e-02,0.04341999,-0.778048418,0.437020838,-0.119154260, 0.051588544,"sulc.APARC.pericc","dhea_timing",0.91085069,FALSE
"55","sulc.APARC.postcn~dhea_timing",-1.612095e-02,0.04193433,-0.384433224,0.700870739,-0.098571270, 0.066329372,"sulc.APARC.postcn","dhea_timing",0.97043641,FALSE
"56","sulc.APARC.ptcate~dhea_timing",-1.958483e-02,0.03611683,-0.542263237,0.587952538,-0.090596922, 0.051427261,"sulc.APARC.ptcate","dhea_timing",0.91085069,FALSE
"57","sulc.APARC.precn~dhea_timing", 4.937109e-02,0.04070574, 1.212877952,0.225924035,-0.030663601, 0.129405785,"sulc.APARC.precn","dhea_timing",0.91085069,FALSE
"58","sulc.APARC.pc~dhea_timing", 2.879342e-02,0.04338009, 0.663747454,0.507251301,-0.056499514, 0.114086357,"sulc.APARC.pc","dhea_timing",0.91085069,FALSE
"59","sulc.APARC.rracate~dhea_timing", 4.459148e-03,0.03599998, 0.123865313,0.901486896,-0.066323185, 0.075241481,"sulc.APARC.rracate","dhea_timing",0.97058601,FALSE
"60","sulc.APARC.rrmdfr~dhea_timing",-6.641196e-02,0.04166635,-1.593898990,0.111783531,-0.148335389, 0.015511475,"sulc.APARC.rrmdfr","dhea_timing",0.91085069,FALSE
"61","sulc.APARC.sufr~dhea_timing",-3.160907e-02,0.03981498,-0.793898810,0.427745938,-0.109892381, 0.046674244,"sulc.APARC.sufr","dhea_timing",0.91085069,FALSE
"62","sulc.APARC.supl~dhea_timing",-2.618133e-02,0.04334493,-0.604022895,0.546186022,-0.111405151, 0.059042487,"sulc.APARC.supl","dhea_timing",0.91085069,FALSE
"63","sulc.APARC.sutm~dhea_timing",-2.148592e-02,0.04176481,-0.514450483,0.607233794,-0.103602933, 0.060631084,"sulc.APARC.sutm","dhea_timing",0.91085069,FALSE
"64","sulc.APARC.sm~dhea_timing", 6.908306e-02,0.04130516, 1.672504339,0.095241539,-0.012130204, 0.150296325,"sulc.APARC.sm","dhea_timing",0.91085069,FALSE
"65","sulc.APARC.frpole~dhea_timing",-1.671421e-02,0.04161283,-0.401659965,0.688158320,-0.098532411, 0.065103994,"sulc.APARC.frpole","dhea_timing",0.97043641,FALSE
"66","sulc.APARC.tmpole~dhea_timing",-2.563158e-02,0.03811907,-0.672408346,0.501729216,-0.100580419, 0.049317261,"sulc.APARC.tmpole","dhea_timing",0.91085069,FALSE
"67","sulc.APARC.trvtm~dhea_timing", 3.217791e-02,0.03696964, 0.870387374,0.384633933,-0.040510953, 0.104866766,"sulc.APARC.trvtm","dhea_timing",0.91085069,FALSE
"68","sulc.APARC.insula~dhea_timing", 2.206545e-02,0.04008408, 0.550479315,0.582311575,-0.056746941, 0.100877850,"sulc.APARC.insula","dhea_timing",0.91085069,FALSE
"69","sa.APARC.bankssts~dhea_timing", 3.649061e-02,0.03733649, 0.977344636,0.329015472,-0.036919533, 0.109900762,"sa.APARC.bankssts","dhea_timing",0.75856345,FALSE
"70","sa.APARC.cdacate~dhea_timing", 1.937904e-02,0.03294034, 0.588307318,0.556672785,-0.045387496, 0.084145577,"sa.APARC.cdacate","dhea_timing",0.94627245,FALSE
"71","sa.APARC.cdmdfr~dhea_timing",-8.429500e-03,0.03639353,-0.231620807,0.816956241,-0.079985638, 0.063126638,"sa.APARC.cdmdfr","dhea_timing",0.99346510,FALSE
"72","sa.APARC.cuneus~dhea_timing", 1.637502e-03,0.03848164, 0.042552815,0.966080184,-0.074024222, 0.077299227,"sa.APARC.cuneus","dhea_timing",0.99346510,FALSE
"73","sa.APARC.ehinal~dhea_timing", 1.196107e-01,0.04110082, 2.910176958,0.003823184, 0.038799166, 0.200422163,"sa.APARC.ehinal","dhea_timing",0.13282204,TRUE
"74","sa.APARC.fusiform~dhea_timing", 3.983356e-02,0.03454398, 1.153125767,0.249577907,-0.028086033, 0.107753143,"sa.APARC.fusiform","dhea_timing",0.66822472,FALSE
"75","sa.APARC.ifpl~dhea_timing", 5.350200e-02,0.03682779, 1.452761725,0.147108696,-0.018907957, 0.125911967,"sa.APARC.ifpl","dhea_timing",0.51506588,FALSE
"76","sa.APARC.iftm~dhea_timing", 3.631749e-03,0.03524115, 0.103054211,0.917973882,-0.065658596, 0.072922094,"sa.APARC.iftm","dhea_timing",0.99346510,FALSE
"77","sa.APARC.ihcate~dhea_timing",-7.508770e-02,0.03765039,-1.994340796,0.046823292,-0.149115030,-0.001060371,"sa.APARC.ihcate","dhea_timing",0.32386110,FALSE
"78","sa.APARC.locc~dhea_timing",-1.134040e-02,0.03362938,-0.337217115,0.736137957,-0.077461724, 0.054780919,"sa.APARC.locc","dhea_timing",0.98203364,FALSE
"79","sa.APARC.lobfr~dhea_timing",-4.107292e-02,0.03748680,-1.095663802,0.273914417,-0.114778606, 0.032632757,"sa.APARC.lobfr","dhea_timing",0.66867343,FALSE
