"","mod_name","beta","std","t.value","p.value","CI.Lower_95CI","CI.Upper_95CI","dependent","factor","p.corrected","Sig"
"1","thk.APARC.bankssts~KSADS.Depressive_symptoms_ever.p", 0.0235113266,0.03906993, 0.601775559,0.5476356124,-5.327699e-02, 1.002996e-01,"thk.APARC.bankssts","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"2","thk.APARC.cdacate~KSADS.Depressive_symptoms_ever.p", 0.0239389577,0.04005906, 0.597591641,0.5504219741,-5.479341e-02, 1.026713e-01,"thk.APARC.cdacate","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"3","thk.APARC.cdmdfr~KSADS.Depressive_symptoms_ever.p", 0.0449305318,0.04045314, 1.110680823,0.2673165004,-3.457638e-02, 1.244374e-01,"thk.APARC.cdmdfr","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"4","thk.APARC.cuneus~KSADS.Depressive_symptoms_ever.p", 0.0035825542,0.04049762, 0.088463329,0.9295489541,-7.601176e-02, 8.317687e-02,"thk.APARC.cuneus","KSADS.Depressive_symptoms_ever.p",0.957717104,FALSE
"5","thk.APARC.ehinal~KSADS.Depressive_symptoms_ever.p",-0.0279455346,0.04070865,-0.686476623,0.4927766787,-1.079546e-01, 5.206354e-02,"thk.APARC.ehinal","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"6","thk.APARC.fusiform~KSADS.Depressive_symptoms_ever.p", 0.0209515901,0.04178829, 0.501374708,0.6163599059,-6.117942e-02, 1.030826e-01,"thk.APARC.fusiform","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"7","thk.APARC.ifpl~KSADS.Depressive_symptoms_ever.p", 0.0193418669,0.03772381, 0.512723063,0.6084041171,-5.480078e-02, 9.348452e-02,"thk.APARC.ifpl","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"8","thk.APARC.iftm~KSADS.Depressive_symptoms_ever.p",-0.0272319881,0.04077383,-0.667879158,0.5045632983,-1.073692e-01, 5.290519e-02,"thk.APARC.iftm","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"9","thk.APARC.ihcate~KSADS.Depressive_symptoms_ever.p", 0.0491322217,0.04227837, 1.162112549,0.2458240333,-3.396199e-02, 1.322264e-01,"thk.APARC.ihcate","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"10","thk.APARC.locc~KSADS.Depressive_symptoms_ever.p", 0.0131187613,0.03656445, 0.358784640,0.7199294768,-5.874527e-02, 8.498279e-02,"thk.APARC.locc","KSADS.Depressive_symptoms_ever.p",0.810685786,FALSE
"11","thk.APARC.lobfr~KSADS.Depressive_symptoms_ever.p",-0.0237434859,0.04192153,-0.566379217,0.5714267677,-1.061364e-01, 5.864941e-02,"thk.APARC.lobfr","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"12","thk.APARC.lingual~KSADS.Depressive_symptoms_ever.p",-0.0207507867,0.04057429,-0.511426934,0.6093104469,-1.004958e-01, 5.899423e-02,"thk.APARC.lingual","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"13","thk.APARC.mobfr~KSADS.Depressive_symptoms_ever.p", 0.0230492930,0.03984386, 0.578490426,0.5632310675,-5.526013e-02, 1.013587e-01,"thk.APARC.mobfr","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"14","thk.APARC.mdtm~KSADS.Depressive_symptoms_ever.p", 0.0160305149,0.03625860, 0.442116156,0.6586238704,-5.523241e-02, 8.729344e-02,"thk.APARC.mdtm","KSADS.Depressive_symptoms_ever.p",0.810685786,FALSE
"15","thk.APARC.parahpal~KSADS.Depressive_symptoms_ever.p",-0.1596541924,0.04325715,-3.690816292,0.0002517823,-2.446721e-01,-7.463627e-02,"thk.APARC.parahpal","KSADS.Depressive_symptoms_ever.p",0.008560598,TRUE
"16","thk.APARC.paracn~KSADS.Depressive_symptoms_ever.p", 0.0292570876,0.04205219, 0.695732834,0.4869659798,-5.339259e-02, 1.119068e-01,"thk.APARC.paracn","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"17","thk.APARC.parsopc~KSADS.Depressive_symptoms_ever.p", 0.0311604441,0.03993991, 0.780183100,0.4357054721,-4.733775e-02, 1.096586e-01,"thk.APARC.parsopc","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"18","thk.APARC.parsobis~KSADS.Depressive_symptoms_ever.p", 0.0537491650,0.03943220, 1.363078116,0.1735597903,-2.375116e-02, 1.312495e-01,"thk.APARC.parsobis","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"19","thk.APARC.parstgris~KSADS.Depressive_symptoms_ever.p", 0.0615647836,0.04032523, 1.526706353,0.1275574660,-1.769072e-02, 1.408203e-01,"thk.APARC.parstgris","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"20","thk.APARC.pericc~KSADS.Depressive_symptoms_ever.p",-0.0204523497,0.04099386,-0.498912481,0.6180920853,-1.010220e-01, 6.011729e-02,"thk.APARC.pericc","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"21","thk.APARC.postcn~KSADS.Depressive_symptoms_ever.p", 0.0478987989,0.03923818, 1.220719274,0.2228505769,-2.922020e-02, 1.250178e-01,"thk.APARC.postcn","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"22","thk.APARC.ptcate~KSADS.Depressive_symptoms_ever.p", 0.0777818045,0.04026047, 1.931964527,0.0540099949,-1.346423e-03, 1.569100e-01,"thk.APARC.ptcate","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"23","thk.APARC.precn~KSADS.Depressive_symptoms_ever.p", 0.0004617282,0.03965428, 0.011643842,0.9907150821,-7.747509e-02, 7.839854e-02,"thk.APARC.precn","KSADS.Depressive_symptoms_ever.p",0.990715082,FALSE
"24","thk.APARC.pc~KSADS.Depressive_symptoms_ever.p", 0.0273212789,0.04348559, 0.628283495,0.5301464549,-5.814562e-02, 1.127882e-01,"thk.APARC.pc","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"25","thk.APARC.rracate~KSADS.Depressive_symptoms_ever.p", 0.0161165700,0.03848003, 0.418829432,0.6755465685,-5.951237e-02, 9.174551e-02,"thk.APARC.rracate","KSADS.Depressive_symptoms_ever.p",0.810685786,FALSE
"26","thk.APARC.rrmdfr~KSADS.Depressive_symptoms_ever.p", 0.0316934385,0.03928673, 0.806721273,0.4202659052,-4.552098e-02, 1.089079e-01,"thk.APARC.rrmdfr","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"27","thk.APARC.sufr~KSADS.Depressive_symptoms_ever.p", 0.0512019102,0.04213722, 1.215123211,0.2249752034,-3.161488e-02, 1.340187e-01,"thk.APARC.sufr","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"28","thk.APARC.supl~KSADS.Depressive_symptoms_ever.p", 0.0140524197,0.04217607, 0.333184664,0.7391546876,-6.884074e-02, 9.694558e-02,"thk.APARC.supl","KSADS.Depressive_symptoms_ever.p",0.810685786,FALSE
"29","thk.APARC.sutm~KSADS.Depressive_symptoms_ever.p",-0.0072231780,0.03947297,-0.182990483,0.8548903516,-8.480364e-02, 7.035729e-02,"thk.APARC.sutm","KSADS.Depressive_symptoms_ever.p",0.908320999,FALSE
"30","thk.APARC.sm~KSADS.Depressive_symptoms_ever.p", 0.0180043419,0.03539691, 0.508641589,0.6112601585,-5.156501e-02, 8.757369e-02,"thk.APARC.sm","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"31","thk.APARC.frpole~KSADS.Depressive_symptoms_ever.p", 0.0607120416,0.03828612, 1.585745568,0.1135203519,-1.453578e-02, 1.359599e-01,"thk.APARC.frpole","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"32","thk.APARC.tmpole~KSADS.Depressive_symptoms_ever.p",-0.0248224397,0.04114147,-0.603343532,0.5465931960,-1.056822e-01, 5.603731e-02,"thk.APARC.tmpole","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
"33","thk.APARC.trvtm~KSADS.Depressive_symptoms_ever.p", 0.0152603847,0.04115390, 0.370812583,0.7109568122,-6.562380e-02, 9.614457e-02,"thk.APARC.trvtm","KSADS.Depressive_symptoms_ever.p",0.810685786,FALSE
"34","thk.APARC.insula~KSADS.Depressive_symptoms_ever.p",-0.0245256924,0.04169793,-0.588175353,0.5567184386,-1.064791e-01, 5.742772e-02,"thk.APARC.insula","KSADS.Depressive_symptoms_ever.p",0.808274265,FALSE
